SEASON,TEAM,DVOA,PLAYOFFS
2002,NO,9.5,missed
2002,TEN,8.5,made
2002,GB,7.8,made
2002,PIT,5.8,made
2002,CLE,0.8,made
2002,NYG,-0.1,made
2002,SEA,-1.0,missed
2002,BAL,-1.3,missed
2002,IND,-1.6,made
2002,JAX,-1.7,missed
2002,LAR,-3.3,missed
2002,LAC,-3.4,missed
2002,BUF,-8.1,missed
2002,WAS,-10.8,missed
2002,CAR,-11.8,missed
2002,CHI,-12.6,missed
2002,MIN,-15.7,missed
2002,DAL,-24.3,missed
2002,CIN,-28.9,missed
2002,DET,-31.1,missed
2002,ARI,-38.7,missed
2002,HOU,-41.4,missed
2003,KC,30.5,made
2003,IND,23.2,made
2003,TEN,22.7,made
2003,NE,21.1,won
2003,GB,20.3,made
2003,PHI,19.4,made
2003,BAL,15.3,made
2003,SEA,12.5,made
2003,MIA,11.9,missed
2003,DEN,10.9,made
2003,TB,9.4,missed
2003,MIN,6.0,missed
2003,LAR,4.9,made
2003,DAL,4.3,made
2003,NYJ,1.8,missed
2003,CAR,-0.2,lost
2003,JAX,-0.8,missed
2003,SF,-0.8,missed
2003,NO,-1.5,missed
2003,PIT,-2.7,missed
2003,CIN,-5.3,missed
2003,CLE,-8.6,missed
2003,BUF,-8.9,missed
2003,LAC,-13.6,missed
2003,WAS,-13.9,missed
2003,ATL,-14.5,missed
2003,CHI,-15.1,missed
2003,LVR,-18.2,missed
2003,DET,-20.8,missed
2003,HOU,-21.9,missed
2003,NYG,-22.8,missed
2003,ARI,-43.1,missed
